CID,IDSURVEY,zHD,zHEL,MU,MUERR
1643312,10,0.34037,0.34083,41.1496,0.193
1933035,10,0.34105,0.34204,41.64473,0.2944
1308357,10,0.34157,0.34255,41.11123,0.1879
1336009,10,0.34175,0.3427,41.28327,0.2472
1332819,10,0.3418,0.34234,41.15902,0.1509
1368530,10,0.34224,0.34336,41.47595,0.1658
1249805,10,0.34273,0.34321,40.60507,338.1609
1311394,10,0.34291,0.34389,40.95115,0.3518
1301936,10,0.34304,0.34351,41.62383,0.2295
1332747,10,0.34305,0.34357,41.40908,0.2962
1248925,10,0.34307,0.34408,41.44534,0.133
1876421,10,0.34313,0.34423,41.38335,0.1365
1297365,10,0.34316,0.34365,42.74336,224.7118
1531108,10,0.34387,0.345,41.34527,0.1924
1371048,10,0.34392,0.34489,41.24242,0.1476
1776135,10,0.3441,0.34522,42.49381,283.2525
1323106,10,0.34417,0.34529,41.33949,0.1104
1948484,10,0.34436,0.34545,41.09129,0.1802
1318661,10,0.34451,0.34498,41.44891,0.1724
1921361,10,0.34459,0.34506,41.26558,0.1332
1309330,10,0.34472,0.34521,42.25376,7.0706
1329312,10,0.34478,0.34586,41.25878,0.1051
1256570,10,0.34548,0.34601,41.36581,0.1073
1835110,10,0.3455,0.34598,41.26919,0.1147
1292823,10,0.34565,0.34672,41.30887,0.1262
1770442,10,0.34578,0.34691,41.29105,0.1427
1432017,10,0.34579,0.34627,41.43032,0.2147
1277715,10,0.34601,0.34655,41.29064,0.1507
1265011,10,0.34689,0.34785,41.09872,0.1308
1291408,10,0.34721,0.34818,41.13422,0.1159
1658072,10,0.34721,0.34771,42.87201,218.2322
1593067,10,0.34776,0.34822,41.64355,0.2071
1278602,10,0.34799,0.34896,41.51216,0.207
1336150,10,0.3481,0.34905,41.72694,0.2574
1919042,10,0.34814,0.34909,41.16477,0.1815
1326216,10,0.34832,0.34882,42.90996,218.4352
1295315,10,0.34886,0.34934,41.22103,0.1176
1258906,10,0.34918,0.35013,41.38191,0.1554
1248677,10,0.35016,0.35067,41.3179,0.1075
1291254,10,0.35021,0.35116,41.25782,0.2671
1773049,10,0.35023,0.35118,41.3175,0.1076
1432027,10,0.35039,0.35088,41.25919,0.1755
1328016,10,0.35071,0.35167,41.26951,0.1554
1254356,10,0.35129,0.35238,41.47435,0.1285
1314554,10,0.35159,0.35253,41.29629,0.1925
1257040,10,0.35177,0.35277,41.25662,0.1129
1261503,10,0.35211,0.35321,41.15259,0.1223
1256765,10,0.35267,0.35377,42.02292,32.6184
1256933,10,0.35284,0.35332,41.51424,0.1552
1324562,10,0.35299,0.35349,41.39783,0.127
1276546,10,0.35329,0.35428,41.53772,0.1435
1935471,10,0.35433,0.35542,41.10221,0.1098
1260113,10,0.35469,0.35583,41.30599,0.2287
1251552,10,0.35484,0.35592,41.5652,0.1302
1255312,10,0.35561,0.35658,41.29741,0.1358
1295592,10,0.35631,0.35684,41.30196,0.115
1331836,10,0.35667,0.35778,41.3561,0.128
1324790,10,0.35723,0.35775,41.28873,0.1998
1247022,10,0.35763,0.35859,41.88096,0.1958
1334423,10,0.35791,0.35888,41.40865,0.1746
1450026,10,0.35831,0.35926,41.59729,0.1189
1250357,10,0.35843,0.35941,41.54725,0.1389
1302915,10,0.35921,0.36022,41.38866,0.1287
1397029,10,0.35942,0.35991,42.35098,164.6259
1307830,10,0.35948,0.36,41.52797,0.1065
1315950,10,0.35948,0.36,41.45362,0.1031
1318235,10,0.36002,0.36101,41.56068,0.148
1265281,10,0.36021,0.36131,41.60278,0.2716
1848198,10,0.36021,0.3612,42.56591,232.3702
1331700,10,0.36025,0.36123,42.08385,0.3282
1264512,10,0.36027,0.36136,41.34945,0.1453
1878334,10,0.36044,0.36142,41.42073,0.1924
1645158,10,0.36048,0.36097,41.30285,0.1706
1294340,10,0.36087,0.36186,41.2245,0.1646
1306378,10,0.36101,0.36195,41.55955,0.21
1316701,10,0.36115,0.36213,41.55013,0.1856
1253406,10,0.36131,0.36229,41.43008,0.1709
1266015,10,0.3616,0.36259,41.50152,0.2473
1923415,10,0.36161,0.36255,41.28252,0.1967
1905244,10,0.36176,0.36285,41.48715,0.1265
1294014,10,0.36271,0.36367,40.9642,0.1549
1346137,10,0.36326,0.36379,41.35083,0.1855
1703026,10,0.3639,0.36491,41.52774,0.166
1330533,10,0.36444,0.36495,41.57902,0.1242
1333291,10,0.3646,0.3657,41.232,0.1694
1255735,10,0.36463,0.36573,41.30831,0.2163
1339402,10,0.36538,0.36587,42.59691,138.5198
1447133,10,0.3654,0.36593,41.48489,0.2179
1920365,10,0.36549,0.366,41.40332,0.1088
1299746,10,0.36571,0.36621,41.38879,0.1978
1318460,10,0.36604,0.36704,41.23154,0.1836
1500031,10,0.36606,0.36704,41.57625,0.1416
1258090,10,0.36656,0.36757,41.3954,0.1317
1344639,10,0.36672,0.3677,41.48063,0.1384
1308582,10,0.36704,0.36812,41.25502,0.0964
1330828,10,0.36705,0.36807,41.49526,0.1186
1431163,10,0.36711,0.36812,41.41436,0.1144
1599030,10,0.36774,0.36872,41.11399,0.1147
1770386,10,0.36795,0.36892,41.44872,0.119
1294341,10,0.36798,0.36897,41.50983,0.1471
1904092,10,0.36798,0.36896,41.40591,0.1493
1249245,10,0.36834,0.36932,41.27058,0.1238
1343533,10,0.36843,0.36947,41.64184,0.1785
1283936,10,0.36862,0.3696,41.5655,0.2602
1918076,10,0.36966,0.37077,41.37922,0.274
1321973,10,0.37043,0.37157,41.29234,0.1464
1323600,10,0.37044,0.37145,41.56655,0.1445
1638030,10,0.37136,0.37235,41.43197,0.139
1291957,10,0.37143,0.37244,41.41159,0.1427
1319539,10,0.37176,0.37277,41.39942,0.1455
1511024,10,0.37178,0.3728,41.45703,0.2514
1255412,10,0.37202,0.37303,41.67956,0.1474
1291511,10,0.37228,0.37325,41.39484,0.1739
1318126,10,0.37298,0.37397,41.46099,0.1255
1434203,10,0.37567,0.3768,41.36417,0.1722
1299643,10,0.37678,0.37727,41.46815,0.1329
1879532,10,0.37719,0.37822,41.42987,0.1449
1289366,10,0.37769,0.37869,42.15081,1.262
1282736,10,0.37797,0.37908,41.47658,0.1632
1315795,10,0.37813,0.37862,41.30302,0.2025
1847100,10,0.3789,0.38,41.47386,0.1468
1837096,10,0.37937,0.37987,41.65466,0.1759
1948209,10,0.37942,0.37996,41.57089,0.1261
1299785,10,0.38131,0.38182,41.52151,0.1744
1255399,10,0.38137,0.38239,41.50847,0.1915
1324582,10,0.38185,0.38237,41.63203,0.1558
1923060,10,0.38247,0.38361,41.42685,0.1332
1620051,10,0.38251,0.38353,41.39445,0.2292
1925122,10,0.38274,0.38377,41.77392,0.2424
1343401,10,0.38283,0.38397,41.44162,0.1592
1250275,10,0.38323,0.38423,41.3791,0.1708
1262135,10,0.38328,0.38378,41.50629,0.1276
1246314,10,0.38337,0.38388,41.6293,0.2593
1283272,10,0.38353,0.38405,41.49537,0.2463
1501075,10,0.38373,0.38474,41.23591,262.7785
1281886,10,0.38393,0.38493,41.46707,0.1815
1291788,10,0.384,0.3845,41.77543,0.2684
1289913,10,0.38495,0.38598,41.04571,0.1831
1249090,10,0.3862,0.38724,41.59525,0.1662
1338170,10,0.38676,0.3878,41.6411,0.1688
1257022,10,0.38683,0.38786,41.60627,0.1354
1336464,10,0.38732,0.38834,41.67321,0.1881
1847165,10,0.38748,0.3885,41.3551,0.1718
1702096,10,0.38809,0.3886,41.8912,0.2693
1702083,10,0.38884,0.38932,41.61793,0.1517
1879414,10,0.38889,0.39,41.585,0.1334
1260058,10,0.38948,0.3905,41.14367,0.2208
1643313,10,0.39044,0.39093,41.64288,0.1628
1435067,10,0.39136,0.39235,41.57298,0.1557
1307953,10,0.39146,0.392,41.58434,150.6151
1773237,10,0.39186,0.3929,41.61736,0.1734
1331130,10,0.39189,0.39292,41.95625,0.2528
1923155,10,0.39201,0.39257,41.5727,0.279
1618036,10,0.39216,0.39319,41.67219,0.1344
1246626,10,0.39282,0.39392,41.54316,0.2135
1790098,10,0.39298,0.394,41.61587,0.1388
1263291,10,0.39362,0.39464,41.6875,0.3134
1315910,10,0.39365,0.39468,42.25254,0.2723
1317783,10,0.39436,0.39534,41.55427,0.1824
1431064,10,0.39494,0.39596,41.74977,0.1688
1336002,10,0.39496,0.396,40.94218,0.2288
1291794,10,0.39512,0.3956,41.69227,0.1505
1329198,10,0.39521,0.39634,41.14772,5.763
1318304,10,0.39764,0.39869,41.37364,0.2229
1291783,10,0.39821,0.39922,41.83358,0.1674
1254762,10,0.39827,0.39875,41.80643,0.2807
1920362,10,0.39835,0.39883,41.44377,0.186
1265832,10,0.39876,0.39978,41.94071,0.2754
1335885,10,0.39932,0.39982,41.77158,0.2252
1300517,10,0.40031,0.40132,41.51903,0.1744
1320367,10,0.40109,0.40212,42.44441,279.3887
1275873,10,0.40188,0.40288,41.57734,0.1816
1581048,10,0.40194,0.40244,41.59565,0.1439
1408024,10,0.40228,0.4033,41.50684,0.1677
1253131,10,0.40349,0.40448,42.11665,0.3438
1329615,10,0.4036,0.40474,41.73836,0.1551
1257419,10,0.40361,0.40412,41.68997,0.1559
1342778,10,0.40457,0.40557,41.50941,266.1743
1530120,10,0.40467,0.40584,41.66284,183.6521
1304777,10,0.40476,0.40528,41.65098,0.1446
1284601,10,0.40512,0.40563,41.74579,0.1379
1880632,10,0.40538,0.4065,41.53219,0.1213
1331513,10,0.40572,0.40675,41.79768,0.2168
1537020,10,0.40597,0.40697,41.82821,0.1546
1318266,10,0.40626,0.40726,41.74051,0.1944
1262588,10,0.40644,0.40759,42.13934,0.484
1308314,10,0.40647,0.407,41.79909,0.1518
1847151,10,0.40684,0.40786,41.88516,0.2069
1312213,10,0.40697,0.40797,42.23683,0.2398
1719037,10,0.40746,0.40795,41.71383,0.2001
1916207,10,0.40841,0.40944,41.73184,0.1671
1892217,10,0.40897,0.40949,41.71107,0.1203
1341370,10,0.409,0.41,41.75601,0.2063
1306390,10,0.40911,0.41009,41.94595,0.2241
1300160,10,0.40925,0.41029,41.56159,0.1733
1337971,10,0.41066,0.41166,42.20685,0.2803
1495047,10,0.41097,0.41152,41.81159,0.1071
1307277,10,0.41113,0.41216,41.6509,0.2
1430136,10,0.41235,0.41337,41.82979,0.1808
1315296,10,0.41257,0.41363,41.68001,0.2328
1300025,10,0.41357,0.41459,41.65307,0.1778
1292997,10,0.41447,0.41562,41.75128,0.2499
1301963,10,0.41527,0.41577,41.74117,0.1185
1260949,10,0.41568,0.4167,41.64874,0.1532
1289600,10,0.41962,0.42019,41.85497,0.2219
1265426,10,0.42029,0.4208,41.98525,0.1657
1306578,10,0.42044,0.4215,41.58688,0.1136
1338762,10,0.42054,0.42108,41.74141,0.1418
1896164,10,0.42068,0.42181,41.57618,0.1235
1306626,10,0.42089,0.4214,41.70125,0.1533
1337311,10,0.42131,0.4225,41.91931,0.1409
1876308,10,0.42147,0.4225,41.98488,0.1585
1306991,10,0.42199,0.42306,41.63381,0.1664
1332721,10,0.42224,0.42274,42.12211,0.2173
1257256,10,0.42235,0.4229,41.72469,0.2179
1431072,10,0.42267,0.42373,42.10023,0.2309
1567044,10,0.42273,0.42324,41.77707,0.1626
1368143,10,0.42348,0.42463,41.72135,0.1491
1318659,10,0.42354,0.42403,42.3467,14.2731
1282018,10,0.42376,0.4248,41.69933,0.153
1302523,10,0.42391,0.42505,41.85669,0.1031
1311632,10,0.4242,0.42538,41.7406,0.1531
1516019,10,0.42436,0.42539,42.02518,0.1728
1776329,10,0.42445,0.42548,41.57869,0.2269
1312274,10,0.4245,0.42551,41.87683,0.1924
1264039,10,0.4246,0.42517,42.03716,0.1172
1305387,10,0.42467,0.42581,42.18998,0.2967
1632070,10,0.42513,0.42627,42.1526,0.2522
1295027,10,0.42561,0.42676,41.76441,0.1372
1280039,10,0.42569,0.4262,41.78831,0.2756
1258940,10,0.42593,0.42694,41.84724,0.1269
1338324,10,0.42602,0.42719,42.16596,0.2183
1335432,10,0.42692,0.42751,41.93286,0.1314
1408068,10,0.42713,0.42828,41.89593,0.223
1264106,10,0.42749,0.4285,41.55512,0.996
1655086,10,0.42781,0.42839,41.90016,0.1396
1336359,10,0.42821,0.42938,42.27783,0.2647
1293789,10,0.42857,0.42914,41.90901,0.1242
1618042,10,0.42893,0.4295,41.99425,0.11
1810236,10,0.42926,0.42981,41.78248,0.5693
1265040,10,0.42981,0.431,41.45573,0.205
1260107,10,0.42982,0.431,41.89811,0.3071
1304456,10,0.42989,0.43093,41.69169,0.1078
1260159,10,0.43034,0.43153,41.92619,0.2046
1916124,10,0.43071,0.4319,41.74154,0.1921
1290007,10,0.43112,0.4317,41.79286,0.222
1899442,10,0.43144,0.432,41.86531,0.1443
1317526,10,0.4316,0.43276,42.00453,0.1314
1251225,10,0.43172,0.43274,42.03657,0.9592
1922297,10,0.43225,0.43327,41.66478,0.1894
1883111,10,0.43278,0.43385,41.71503,0.168
1367571,10,0.43311,0.43428,41.75842,0.1381
1310485,10,0.43313,0.43429,41.9139,0.1803
1252521,10,0.43322,0.43376,41.89547,0.1468
1314067,10,0.43365,0.43479,41.79666,0.1106
1277945,10,0.43369,0.43425,41.98253,0.1592
1251390,10,0.43398,0.43504,41.79445,0.1284
1660018,10,0.43435,0.4355,41.60541,0.2014
1861164,10,0.43446,0.435,41.74381,0.1521
1909346,10,0.43448,0.43564,42.25091,0.2565
1933168,10,0.43495,0.43547,41.68241,0.1249
1321166,10,0.4351,0.43623,42.0886,0.1354
1297063,10,0.43516,0.4357,41.94989,0.1648
1559178,10,0.4355,0.43651,42.48549,0.5374
1263930,10,0.43578,0.43631,42.07077,0.241
1501097,10,0.43587,0.43707,41.80467,0.1444
1313698,10,0.43619,0.43738,41.84314,0.1563
1256701,10,0.43629,0.43749,42.28125,0.235
1908380,10,0.43668,0.4377,42.05232,0.1889
1336008,10,0.43764,0.43867,41.61194,0.147
1308916,10,0.43769,0.4382,42.0173,0.1999
1333246,10,0.43774,0.43879,41.96413,0.2175
1316831,10,0.43848,0.43966,41.96879,0.1349
1253148,10,0.43868,0.43972,42.06142,0.2069
1334614,10,0.43941,0.44056,42.79751,289.7856
1310294,10,0.43967,0.44089,41.94286,0.1607
1904152,10,0.44025,0.4414,42.07844,0.1423
1256823,10,0.44084,0.44199,41.9191,0.1135
1536026,10,0.44129,0.44236,42.11417,0.2238
1328105,10,0.44153,0.44259,41.79927,0.1214
1311247,10,0.44183,0.44288,41.52847,0.1692
1641173,10,0.44364,0.4448,42.2474,0.1954
1255008,10,0.4438,0.44489,41.80379,0.1777
1645125,10,0.44419,0.44537,41.96627,0.16
1880304,10,0.44419,0.44469,42.23434,0.1951
1265089,10,0.44472,0.44588,41.86658,0.1654
1904293,10,0.44623,0.44682,41.86956,0.1533
1249956,10,0.44628,0.44737,42.36239,0.2387
1306423,10,0.44638,0.44739,41.87444,0.2136
1251975,10,0.44647,0.44765,41.90973,0.0678
1253474,10,0.4467,0.4479,41.82253,0.1154
1367331,10,0.44684,0.44793,42.03154,0.1221
1450148,10,0.44736,0.44845,41.95895,0.166
1340539,10,0.44766,0.4482,42.08076,0.1646
1900662,10,0.44791,0.44894,41.96821,0.1662
1264499,10,0.44841,0.44958,41.66406,0.181
1862183,10,0.44864,0.44918,42.07056,0.182
1389177,10,0.44895,0.44945,42.1467,0.1632
1335756,10,0.44933,0.45038,42.34252,0.2037
1255487,10,0.45012,0.45131,41.90324,0.2107
1249371,10,0.45085,0.45191,42.24385,0.2742
1330964,10,0.45085,0.4514,42.05493,0.175
1390164,10,0.45102,0.45154,41.96907,224.6577
1367556,10,0.45115,0.45235,41.89587,0.128
1536028,10,0.45115,0.45221,42.09722,0.1267
1252829,10,0.45168,0.45288,41.75649,0.1374
1552028,10,0.4518,0.453,42.01453,0.1065
1895036,10,0.45194,0.45302,41.91153,0.1111
1289346,10,0.45198,0.453,41.34949,213.4445
1392400,10,0.45205,0.45258,41.9952,0.1557
1290127,10,0.45222,0.4533,42.07392,0.2425
1262252,10,0.45294,0.45401,41.96072,0.1979
1251381,10,0.45305,0.45412,42.5177,0.3427
1337267,10,0.45318,0.45439,41.93843,0.2617
1253101,10,0.45332,0.4544,41.89377,0.1933
1302110,10,0.45351,0.45459,42.27599,0.2672
1309694,10,0.45353,0.45456,42.12919,0.203
1304193,10,0.45354,0.45456,42.07876,0.1677
1262084,10,0.4536,0.45416,42.18827,0.1602
1916143,10,0.45362,0.45481,42.06582,0.1399
1512067,10,0.45394,0.45444,42.11224,0.2383
1900865,10,0.45405,0.45463,42.02548,0.1752
1776304,10,0.4541,0.45517,41.84927,0.2052
1253475,10,0.45412,0.45532,42.18464,0.2443
1777122,10,0.45429,0.45551,41.97567,0.1899
1334302,10,0.45463,0.4557,41.87494,0.1557
1306360,10,0.45478,0.45534,41.99291,0.1649
1937078,10,0.45525,0.45645,42.10631,2.5388
1366475,10,0.45546,0.45596,42.04174,0.1428
1247537,10,0.45565,0.45687,41.96742,0.1422
1905184,10,0.45587,0.45705,41.653,0.3367
1531145,10,0.45675,0.45793,42.1682,0.2471
1339716,10,0.45682,0.45791,41.89089,0.2333
1531113,10,0.45694,0.45817,42.25569,0.2055
1915067,10,0.45699,0.45804,42.02079,0.1859
1644211,10,0.45743,0.45849,42.19071,0.1718
1878719,10,0.45753,0.45854,42.31237,0.1346
1263244,10,0.45799,0.45902,42.5259,0.329
1260030,10,0.45811,0.45918,41.95029,0.1333
1258061,10,0.45831,0.45939,42.11684,0.1687
1310963,10,0.45919,0.45971,42.59596,268.2323
1339875,10,0.45944,0.46064,41.92794,0.1676
1784110,10,0.45993,0.46114,42.05468,0.1767
1565032,10,0.46097,0.46219,42.34155,0.1445
1253180,10,0.46154,0.4621,41.99253,0.1324
1338959,10,0.46167,0.46283,41.9024,0.1712
1879263,10,0.46192,0.463,42.26696,0.1282
1252970,10,0.46198,0.4625,42.14205,0.1674
1297742,10,0.46256,0.46364,41.86633,0.1224
1551020,10,0.46283,0.46394,41.96487,0.16
1366187,10,0.4629,0.46406,42.1586,0.1395
1924089,10,0.46299,0.46418,42.06566,0.1065
1484053,10,0.46322,0.46427,41.83382,0.1315
1889211,10,0.46351,0.46407,41.84578,0.1837
1924103,10,0.4638,0.46499,42.14301,0.1206
1876431,10,0.46482,0.466,42.02051,0.1307
1595028,10,0.46523,0.46641,42.2212,0.2072
1699105,10,0.4659,0.46642,42.1394,0.2053
1797044,10,0.4667,0.46789,42.40418,0.1791
1854103,10,0.4668,0.46733,42.07812,0.2214
1262016,10,0.46694,0.46812,42.05559,0.1259
1301332,10,0.46754,0.46861,42.17763,0.1619
1336558,10,0.4676,0.46865,42.05273,0.1798
1317724,10,0.46775,0.4689,42.27658,0.1346
1255426,10,0.46781,0.46887,42.65964,0.3255
1255470,10,0.46877,0.46997,42.0701,0.1661
1339149,10,0.46879,0.46998,42.00695,0.1483
1596033,10,0.46937,0.47043,42.57499,0.2591
1901738,10,0.46975,0.47096,42.10012,0.1352
1254671,10,0.47065,0.47119,42.18959,0.1977
1294137,10,0.47085,0.4719,41.85041,0.2885
1311755,10,0.471,0.4722,42.02791,0.1528
1299758,10,0.47241,0.47293,42.1108,0.1774
1532056,10,0.47273,0.47379,42.13967,0.1914
1265134,10,0.47304,0.47362,41.99333,0.1649
1305785,10,0.47327,0.47431,42.2607,0.1624
1257102,10,0.4733,0.47434,42.05073,0.1564
1936171,10,0.47336,0.47389,41.95528,0.1691
1261173,10,0.47377,0.47431,42.16709,0.1882
1303317,10,0.47429,0.47545,42.10133,0.2011
1403033,10,0.47435,0.47539,42.44964,0.1886
1702112,10,0.47547,0.47603,41.93506,0.1391
1901798,10,0.47577,0.47697,42.48698,0.2093
1257775,10,0.47598,0.47654,42.14657,0.2271
1431096,10,0.4768,0.47786,42.13112,0.1703
1252513,10,0.47767,0.47821,42.36789,0.1901
1302418,10,0.4778,0.47885,42.22784,0.1418
1636093,10,0.47782,0.47891,42.19728,0.223
1256332,10,0.47803,0.47919,42.08767,0.1559
1291143,10,0.47819,0.47937,42.04154,0.2083
1488029,10,0.47833,0.47938,41.91333,0.1511
1562077,10,0.47842,0.47898,42.15208,0.1254
1783052,10,0.47852,0.4796,42.70702,0.2861
1847216,10,0.47905,0.48023,42.31888,0.158
1847303,10,0.47964,0.48082,42.15841,0.1333
1256817,10,0.47982,0.481,42.03231,0.1534
1882097,10,0.47992,0.481,42.59903,0.2479
1318052,10,0.48068,0.48127,42.22484,0.2481
1387101,10,0.48092,0.482,42.00385,0.1348
1309323,10,0.48309,0.48362,42.16315,0.1996
1249209,10,0.48312,0.48424,42.4651,0.1794
1248962,10,0.48342,0.48452,42.15537,0.12
1257335,10,0.4841,0.48464,42.31733,0.1739
1285539,10,0.48417,0.48469,42.41342,0.391
1878288,10,0.48449,0.48501,42.66061,0.2974
1300441,10,0.48485,0.4859,42.11049,0.1587
1329622,10,0.48607,0.48727,42.11261,0.2402
1332689,10,0.48766,0.48824,42.37723,0.2038
1296963,10,0.48813,0.48917,42.19861,0.1469
1298266,10,0.4893,0.49038,42.23885,0.2566
1319840,10,0.4897,0.49025,42.20478,0.1321
1876533,10,0.48981,0.491,42.18153,0.1654
1811099,10,0.49007,0.49058,42.63062,0.2075
1386047,10,0.49181,0.493,42.28746,0.1432
1280332,10,0.49219,0.4934,42.73941,0.377
1302117,10,0.49238,0.49349,42.31734,0.2056
1376168,10,0.49239,0.49348,42.31103,0.1648
1896111,10,0.49243,0.49364,42.08046,0.1721
1292145,10,0.49245,0.493,42.42148,0.2446
1254070,10,0.49252,0.49305,42.16607,0.1272
1305350,10,0.49263,0.49382,42.32964,0.2662
1339703,10,0.49272,0.49383,42.04737,0.1427
1253895,10,0.49276,0.49331,41.89829,0.1467
1250435,10,0.49292,0.49418,42.12039,0.1543
1318689,10,0.49338,0.49392,42.31278,0.1703
1258500,10,0.49383,0.49502,41.98288,0.204
1279488,10,0.49412,0.49532,42.23993,0.2381
1703072,10,0.49417,0.49475,41.90544,0.1633
1254299,10,0.495,0.49625,42.13799,0.1533
1343208,10,0.495,0.49558,42.11753,0.1461
1263936,10,0.49523,0.49575,42.19532,0.2213
1305504,10,0.49559,0.49679,42.23958,0.1417
1264375,10,0.49572,0.4969,42.33811,0.2293
1303140,10,0.49592,0.49718,42.49048,0.1396
1310182,10,0.49611,0.4972,42.02496,0.1428
1346758,10,0.4965,0.4977,42.33009,0.1821
1810037,10,0.4965,0.49761,42.33984,0.2498
1246529,10,0.49677,0.49797,42.14001,0.1557
1880429,10,0.49707,0.49816,41.97907,0.2554
1342906,10,0.49743,0.498,41.94227,0.1274
1293465,10,0.49801,0.4992,42.3351,0.3611
1266634,10,0.4982,0.49927,42.3334,0.2311
1312171,10,0.50043,0.50151,42.541,0.2575
1263829,10,0.5007,0.50128,42.36697,0.1992
1253046,10,0.50134,0.50192,42.28844,0.1093
1901803,10,0.50262,0.50383,42.58836,0.1776
1337272,10,0.50275,0.504,42.35788,0.165
1389074,10,0.50285,0.5039,42.23163,0.1639
1341857,10,0.50314,0.50373,42.35363,0.2101
1346139,10,0.50323,0.50379,42.42092,0.2055
1264948,10,0.50394,0.50502,42.1926,0.1744
1532057,10,0.50397,0.50504,42.25278,0.1221
1293006,10,0.50436,0.50562,42.18793,0.2015
1323349,10,0.50491,0.5061,42.41873,0.1773
1293921,10,0.50492,0.50552,42.29921,0.1184
1254670,10,0.50495,0.5055,41.93976,0.1522
1258289,10,0.50509,0.50629,42.2105,0.2031
1281879,10,0.50547,0.50657,42.22901,0.195
1891261,10,0.50558,0.50614,42.05216,0.1371
1473027,10,0.50566,0.50617,42.22198,0.1433
1504096,10,0.50582,0.50709,42.42192,0.2296
1335472,10,0.50597,0.50705,42.23548,0.1033
1343759,10,0.50617,0.50677,42.17726,0.1312
1697027,10,0.50621,0.5074,42.23124,0.2285
1847148,10,0.50631,0.5074,42.39994,0.3114
1329663,10,0.50765,0.50826,42.28766,217.3427
1323988,10,0.50816,0.50924,42.17286,0.1855
1263062,10,0.50827,0.5095,42.05343,0.1305
1368482,10,0.50847,0.50967,42.4456,0.1715
1370944,10,0.50947,0.51057,42.24295,0.1398
1780122,10,0.50987,0.51096,41.87859,0.2096
1876204,10,0.51008,0.51067,42.31712,0.1747
1341502,10,0.51064,0.51185,42.37881,0.1573
1291155,10,0.51089,0.51213,42.03637,0.14
1889022,10,0.51127,0.5124,42.47574,0.1692
1256432,10,0.5113,0.51183,42.22407,0.1258
1332392,10,0.51197,0.51318,42.50087,0.1998
1898108,10,0.51204,0.51325,42.37228,0.1244
1440057,10,0.51228,0.51352,42.30733,0.1398
1259538,10,0.51244,0.51363,42.40727,0.1417
1889090,10,0.5129,0.514,42.25625,0.1399
1320762,10,0.51339,0.51445,42.2514,0.1986
1883166,10,0.51351,0.51473,42.32145,0.1592
1519027,10,0.51404,0.51525,42.58931,0.2433
1300470,10,0.51413,0.5152,42.57387,0.2371
1370135,10,0.51615,0.51724,42.52161,0.1875
1342647,10,0.51618,0.51725,42.35236,0.1973
1922405,10,0.51619,0.51671,42.47023,0.1651
1338430,10,0.51717,0.5183,42.13699,0.0953
1502029,10,0.51797,0.51921,42.23257,0.1223
1332614,10,0.51856,0.51917,42.58745,0.1742
1659122,10,0.51872,0.51927,42.09634,0.2907
1304501,10,0.51882,0.51991,42.53775,0.2549
1320066,10,0.5192,0.52035,42.72513,0.2713
1252225,10,0.51956,0.52014,43.19956,180.3598
1901257,10,0.51978,0.521,42.61672,0.2184
1314847,10,0.52053,0.52173,42.27796,0.1542
1258422,10,0.52105,0.52227,42.40475,0.2034
1257602,10,0.52211,0.52271,42.36599,0.1275
1385187,10,0.52212,0.52319,42.3184,0.1739
1341459,10,0.52219,0.52341,42.09562,0.1315
1286881,10,0.5228,0.52334,42.37586,0.1362
1312164,10,0.52327,0.52438,42.72466,0.3135
1335671,10,0.52427,0.5248,42.2756,0.1008
1514059,10,0.52427,0.5248,42.80514,0.2571
1915184,10,0.5246,0.52582,42.37404,0.1669
1258330,10,0.52473,0.52595,42.12443,0.1624
1780287,10,0.52494,0.5262,42.20845,0.1647
1295285,10,0.52513,0.52634,42.32221,0.1167
1294806,10,0.52535,0.52588,42.38282,0.1615
1329795,10,0.52558,0.52669,42.43147,0.1519
1257144,10,0.52559,0.5267,42.44235,0.2039
1303197,10,0.52562,0.52682,42.22159,0.1274
1645195,10,0.5258,0.52692,42.40356,0.1332
1322229,10,0.52612,0.52736,42.23087,0.2232
1301922,10,0.52616,0.52676,42.62537,0.2171
1320126,10,0.52685,0.52795,42.42063,0.1929
1514043,10,0.52706,0.52831,42.44815,0.327
1302564,10,0.52716,0.5284,42.1697,0.1596
1261259,10,0.52723,0.52786,42.38955,0.1166
1251536,10,0.52727,0.52851,42.63185,0.1876
1250532,10,0.5277,0.52893,42.68565,0.182
1371206,10,0.52779,0.52839,42.39553,0.1744
1673068,10,0.52779,0.52838,42.40203,0.1445
1259006,10,0.5279,0.52913,42.29482,0.1811
1334742,10,0.52809,0.52919,42.46907,0.3578
1260889,10,0.52885,0.52993,42.41841,0.159
1262736,10,0.52929,0.5305,42.30629,0.1737
1304503,10,0.52971,0.5303,42.28223,0.1351
1324544,10,0.52973,0.53027,42.3084,0.2167
1490034,10,0.53002,0.53058,42.70507,0.2078
1817269,10,0.53009,0.5307,42.42105,0.1544
1302346,10,0.53042,0.53152,42.60237,0.1745
1472020,10,0.53112,0.53169,42.42343,0.2021
1338471,10,0.53116,0.53228,42.63427,0.1869
1246758,10,0.53127,0.53249,42.14059,0.1494
1278820,10,0.53127,0.53252,42.47071,0.2484
1261233,10,0.53166,0.53225,42.35334,0.1387
1550103,10,0.53166,0.53223,42.52236,0.1788
1346628,10,0.53191,0.53253,42.36618,0.1998
