# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: 2004gc       5 0.03267 0.03192 35.49947   0.15360  0.05630  0.05224  1.00000
SN: 2008gl      65 0.03272 0.03354 35.77776   0.09740  0.05620  0.03550  1.00000
SN: SN2016hpx  150 0.03282 0.03338 35.72574   0.11490  0.05610  0.04359  1.00000
SN: SN2017cii  150 0.03289 0.03323 35.94437   0.09890  0.05590  0.05271  1.00000
SN: 2006te      64 0.03290 0.03155 35.86379   0.09980  0.05590  0.02898  1.00000
SN: 2004as      63 0.03296 0.03139 35.91239   0.16870  0.05580  0.06981  1.00000
SN: ASASSN-16bc 150 0.03298 0.03194 35.84713   0.08740  0.05580  0.04253  1.00000
SN: 2008gp       5 0.03333 0.03303 35.78241   0.09130  0.05520  0.03746  1.00000
SN: 2010ag      66 0.03335 0.03340 35.61152   0.16060  0.05520  0.04532  1.00000
SN: 2005iq      64 0.03341 0.03404 36.04223   0.08960  0.05510  0.03334  1.00000
SN: PS15bsq    150 0.03371 0.03430 35.94447   0.08870  0.05460  0.03011  1.00000
SN: 2004L       63 0.03373 0.03229 35.90151   0.17280  0.05460  0.21454  1.00000
SN: 2003cq      63 0.03378 0.03275 35.77748   0.19050  0.05450  0.23700  1.00000
SN: 2006S       64 0.03393 0.03224 36.04480   0.12360  0.05430  0.11019  1.00000
SN: 2006gr      64 0.03428 0.03467 36.06972   0.14370  0.05370  0.04560  1.00000
SN: ASASSN-16dw 150 0.03437 0.03466 35.86075   0.13870  0.05360  0.06112  1.00000
SN: ATLAS17ajs 150 0.03451 0.03265 36.00055   0.20990  0.05340  0.11565  1.00000
SN: 2003kc      63 0.03479 0.03316 35.90349   0.14590  0.05290  0.14332  1.00000
SN: 2003iv      63 0.03491 0.03426 36.00549   0.11550  0.05280  0.04934  1.00000
SN: ASASSN-15jl 150 0.03512 0.03468 36.00129   0.09690  0.05250  0.02988  1.00000
SN: 2005eu      64 0.03516 0.03449 35.99496   0.10940  0.05240  0.04173  1.00000
SN: ASASSN-15tg 150 0.03529 0.03561 35.97296   0.09150  0.05220  0.05201  1.00000
SN: PTSS-16efw 150 0.03568 0.03557 36.37717   0.09120  0.05160  0.05150  1.00000
SN: ASASSN-15ss 150 0.03599 0.03556 36.14219   0.09880  0.05120  0.03239  1.00000
SN: PS15bbn    150 0.03624 0.03710 36.34051   0.10050  0.05090  0.04133  1.00000
SN: ASASSN-15lu 150 0.03635 0.03505 36.12212   0.10710  0.05070  0.03843  1.00000
SN: 2008hj      65 0.03682 0.03761 36.10739   0.08940  0.05010  0.04605  1.00000
SN: 2006mo      64 0.03702 0.03718 36.05762   0.12870  0.04980  0.04675  1.00000
SN: 2002hu      63 0.03705 0.03670 36.04733   0.09230  0.04980  0.03324  1.00000
SN: 2001eh      63 0.03725 0.03713 36.02513   0.10870  0.04950  0.02845  1.00000
SN: ASASSN-16db 150 0.03730 0.03486 36.00481   0.12640  0.04940  0.03021  1.00000
SN: AT2016hns  150 0.03740 0.03817 36.08774   0.09660  0.04930  0.04619  1.00000
SN: ASASSN-15bc 150 0.03753 0.03672 36.17469   0.12980  0.04910  0.14034  1.00000
SN: 2007jg       5 0.03756 0.03707 36.28277   0.12510  0.04910  0.10820  1.00000
SN: AT2016cvw  150 0.03787 0.03888 36.23115   0.09700  0.04870  0.04026  1.00000
SN: 2008gb      65 0.03796 0.03700 36.20411   0.11760  0.04860  0.07885  1.00000
SN: 2007O       64 0.03818 0.03694 36.03118   0.09920  0.04830  0.04088  1.00000
SN: 2008fr      65 0.03828 0.03900 36.24098   0.09950  0.04820  0.08353  1.00000
SN: 2009bv      65 0.03848 0.03667 36.30027   0.09430  0.04790  0.04963  1.00000
SN: 2008051     65 0.03873 0.03777 36.10940   0.10480  0.04760  0.04705  1.00000
SN: ASASSN-15np 150 0.03884 0.03768 36.16109   0.13450  0.04750  0.05218  1.00000
SN: 2010dw      66 0.03902 0.03812 36.12476   0.15010  0.04730  0.05578  1.00000
SN: ASASSN-15pn 150 0.03909 0.03836 36.37937   0.11270  0.04720  0.05243  1.00000
SN: PS15cze    150 0.04035 0.03937 36.39057   0.15560  0.04580  0.06397  1.00000
SN: 2003fa      63 0.04056 0.04039 36.17456   0.09470  0.04550  0.05193  1.00000
SN: SN2016glz  150 0.04077 0.04099 36.16656   0.11050  0.04530  0.09233  1.00000
SN: PS16axi    150 0.04089 0.03930 36.23436   0.09710  0.04520  0.03215  1.00000
SN: SN2017coa  150 0.04095 0.04000 36.50150   0.12550  0.04510  0.09294  1.00000
SN: 2009do      65 0.04099 0.03964 36.15246   0.10150  0.04510  0.03674  1.00000
SN: 2001az      63 0.04101 0.04069 36.42864   0.09640  0.04500  0.02620  1.00000
SN: 2006cf      64 0.04268 0.04146 36.38876   0.10010  0.04330  0.04379  1.00000
SN: 2007kk      65 0.04285 0.04177 36.25061   0.10820  0.04310  0.11352  1.00000
SN: AT2016htm  150 0.04289 0.04332 36.44590   0.07900  0.04310  0.05376  1.00000
SN: ASASSN-16ct 150 0.04306 0.04191 36.27234   0.14240  0.04290  0.11853  1.00000
SN: 2007nq      65 0.04349 0.04389 36.34012   0.08640  0.04250  0.08295  1.00000
SN: SN2016ayg  150 0.04349 0.04269 36.54806   0.09030  0.04250  0.02839  1.00000
SN: MASTERJ0134 150 0.04369 0.04485 36.39868   0.09840  0.04230  0.03362  1.00000
SN: AT2016cvv  150 0.04438 0.04457 36.56415   0.13330  0.04170  0.04354  1.00000
SN: 2005ku       5 0.04439 0.04525 36.40300   0.16570  0.04170  0.06191  1.00000
SN: PSNJ1204051 150 0.04545 0.04385 36.60762   0.11390  0.04070  0.11193  1.00000
SN: 2005hc      64 0.04575 0.04592 36.70442   0.08560  0.04050  0.03263  1.00000
SN: SN2016esh  150 0.04583 0.04457 36.40237   0.09640  0.04040  0.06623  1.00000
SN: PS17tn     150 0.04590 0.04470 36.46476   0.12750  0.04030  0.03112  1.00000
SN: 2008050     65 0.04625 0.04526 36.32332   0.15850  0.04000  0.04988  1.00000
SN: AT2016ews  150 0.04631 0.04555 36.71469   0.07570  0.04000  0.03450  1.00000
SN: 2005lz      64 0.04643 0.04624 36.44158   0.12660  0.03990  0.03611  1.00000
SN: 2004gu       5 0.04664 0.04558 36.55421   0.13330  0.03970  0.04716  1.00000
SN: 2008cf      65 0.04682 0.04603 36.58083   0.09220  0.03960  0.04123  1.00000
SN: AT2017yk   150 0.04691 0.04644 36.73159   0.16530  0.03950  0.08034  1.00000
SN: 2016afk    150 0.04738 0.04561 36.61782   0.15470  0.03910  0.07805  1.00000
SN: PS16fa     150 0.04760 0.04611 36.69330   0.09960  0.03890  0.07395  1.00000
SN: PS15aii    150 0.04777 0.04655 36.70612   0.07630  0.03880  0.04824  1.00000
SN: PS17akj    150 0.04777 0.04681 36.62425   0.10870  0.03880  0.03627  1.00000
SN: ATLAS16agv 150 0.04819 0.04779 36.60360   0.09200  0.03850  0.08094  1.00000
SN: ASASSN-15pm 150 0.04837 0.04879 36.69412   0.07520  0.03830  0.02599  1.00000
SN: AT2016gmg  150 0.04865 0.04944 36.77314   0.09880  0.03810  0.04312  1.00000
SN: PS16el     150 0.04940 0.04781 36.66071   0.08730  0.03750  0.03600  1.00000
SN: 2006cq      64 0.04944 0.04844 36.85045   0.12190  0.03750  0.02788  1.00000
SN: PS15asb    150 0.04989 0.04863 36.63990   0.09430  0.03720  0.05643  1.00000
SN: PS16dnp    150 0.05023 0.05127 36.96010   0.09040  0.03690  0.03362  1.00000
SN: ASASSN-17eb 150 0.05044 0.04924 36.58165   0.12940  0.03680  0.04066  1.00000
SN: PS15brr    150 0.05049 0.05180 36.61840   0.09450  0.03670  0.03292  1.00000
SN: AT2016cor  150 0.05066 0.04954 36.84447   0.19410  0.03660  0.15960  1.00000
SN: PS16fbb    150 0.05106 0.05250 36.85227   0.09890  0.03630  0.03619  1.00000
